id,created_at,name,category,address,phone,website,email,rating,reviews,hours,google_maps_url,latitude,longitude,place_id,description,price_level,plus_code,keyword,location,menu_url,order_url,booking_url,facebook,instagram,twitter,youtube,tiktok
1,"2026-03-16 23:07:36.865843+00","Handsome Heads Barbershop","Barber shop","Address: 417 Broad St, Bloomfield, NJ 07003, United States","Phone: +1 973-337-6474",http://handsomeheadsbarbershop.com/,"",4.7,132,"Closed · Opens 10 AM Tue",https://www.google.com/maps/place/Handsome+Heads+Barbershop/data=!4m7!3m6!1s0x89c2556a45f6fc8d:0x25936f0e6311d009!8m2!3d40.8077!4d-74.1922489!16s%2Fg%2F11dfgvvpjh!19sChIJjfz2RWpVwokRCdARYw5vkyU?authuser=0&hl=en&rclk=1,40.8077,-74.1922489,0x89c2556a45f6fc8d:0x25936f0e6311d009,"","","Plus code: RR55+34 Bloomfield, New Jersey, USA",barber,"Bloomfield, NJ","","","",https://facebook.com/handsomeheadsbarbershop,https://instagram.com/handsomeheadsbarbershop,"","",""
2,"2026-03-16 23:07:36.865843+00","Bloomfield Barbershop","Barber shop","Address: 408 Broad St, Bloomfield, NJ 07003, United States","Phone: +1 973-748-1500",http://www.bloomfieldbarber.com/,"",4.6,107,"Closed · Opens 7 AM Tue",https://www.google.com/maps/place/Bloomfield+Barbershop/data=!4m7!3m6!1s0x89c2556a5b58dedb:0xae98a9287f2f5189!8m2!3d40.8074259!4d-74.1926108!16s%2Fg%2F1tkbz3ts!19sChIJ295YW2pVwokRiVEvfyipmK4?authuser=0&hl=en&rclk=1,40.8074259,-74.1926108,0x89c2556a5b58dedb:0xae98a9287f2f5189,"","","Plus code: RR44+XX Bloomfield, New Jersey, USA",barber,"Bloomfield, NJ","","","","","","","",""
3,"2026-03-16 23:07:36.865843+00","Brookdale Barber","Barber shop","Address: 1056 Broad St, Bloomfield, NJ 07003, United States","Phone: +1 973-338-0677",https://u77a.top/business/brookdale-barber-_DCLKmk0,hello@locmaps.com,4.9,82,"Closed · Opens 7:30 AM Tue",https://www.google.com/maps/place/Brookdale+Barber/data=!4m7!3m6!1s0x89c2ff894a166707:0x4d9aca220c3f75e4!8m2!3d40.8280635!4d-74.1872754!16s%2Fg%2F1tf16tl5!19sChIJB2cWSon_wokR5HU_DCLKmk0?authuser=0&hl=en&rclk=1,40.8280635,-74.1872754,0x89c2ff894a166707:0x4d9aca220c3f75e4,"","","Plus code: RRH7+63 Bloomfield, New Jersey, USA",barber,"Bloomfield, NJ","","","",https://facebook.com/locmaps,"",https://twitter.com/locmaps,"",""
4,"2026-03-16 23:07:36.865843+00","Hombre Salon & Barber Shop","Barber shop","Address: 317 Glenwood Ave, Bloomfield, NJ 07003, United States","Phone: +1 973-429-0003",http://www.hombresalon.com/,hombresalon@icloud.com,4.8,93,"Closed · Opens 9 AM Tue",https://www.google.com/maps/place/Hombre+Salon+%26+Barber+Shop/data=!4m7!3m6!1s0x89c255b42276d825:0x2a1b18b300ae8313!8m2!3d40.792997!4d-74.198053!16s%2Fg%2F11lkj16g96!19sChIJJdh2IrRVwokRE4OuALMYGyo?authuser=0&hl=en&rclk=1,40.792997,-74.198053,0x89c255b42276d825:0x2a1b18b300ae8313,"","","Plus code: QRV2+5Q Bloomfield, New Jersey, USA",barber,"Bloomfield, NJ","","","",https://www.facebook.com/HombreSalon,https://www.instagram.com/hombresalon,"","",""
5,"2026-03-16 23:07:36.865843+00","A&M Barbershop","Barber shop","Address: 358 Bloomfield Ave, Montclair, NJ 07042, United States","Phone: +1 973-707-7375",http://ambarbershop.com/,"",4.9,628,"Closes soon · 8 PM · Opens 9 AM Tue",https://www.google.com/maps/place/A%26M+Barbershop/data=!4m7!3m6!1s0x89c2559bbb7fb33d:0x19e15dac080d9164!8m2!3d40.8119998!4d-74.2154501!16s%2Fg%2F11q8x28bt3!19sChIJPbN_u5tVwokRZJENCKxd4Rk?authuser=0&hl=en&rclk=1,40.8119998,-74.2154501,0x89c2559bbb7fb33d:0x19e15dac080d9164,"","","Plus code: RQ6M+QR Montclair, New Jersey, USA",barber,"Bloomfield, NJ","","","","","","","",""
6,"2026-03-16 23:07:36.865843+00","Laboratory Hair Studio","Hair salon","Address: 770 Speedwell Ave, Morris Plains, NJ 07950, United States","Phone: +1 973-538-3757",http://www.laboratoryhairstudio.com/,GUESTSERVICES@LABORATORYHAIRSTUDIO.COM,4.8,612,"Closed · Opens 12 PM Tue",https://www.google.com/maps/place/Laboratory+Hair+Studio/data=!4m7!3m6!1s0x89c3a6bcb78fd7c9:0x647a1f9c29577a21!8m2!3d40.829851!4d-74.479001!16s%2Fg%2F1wz53n7q!19sChIJydePt7ymw4kRIXpXKZwfemQ?authuser=0&hl=en&rclk=1,40.829851,-74.479001,0x89c3a6bcb78fd7c9:0x647a1f9c29577a21,"","","Plus code: RGHC+W9 Morris Plains, New Jersey, USA",barber,"Bloomfield, NJ","","","",https://www.facebook.com/laboratoryhairstudio,https://www.instagram.com/laboratoryhairstudio,"","",""
7,"2026-03-16 23:07:36.865843+00","little space salon","Hair salon","Address: 112 E 23rd St Suite 302, New York, NY 10010, United States","Phone: +1 646-590-3080",http://www.littlespacesalon.com/,p_mocarski@yahoo.com,4.8,30,"Open · Closes 8:15 PM",https://www.google.com/maps/place/little+space+salon/data=!4m7!3m6!1s0x89c259a0df6f48af:0x229bd2d48c26502f!8m2!3d40.73966!4d-73.985891!16s%2Fg%2F11df0_qg11!19sChIJr0hv36BZwokRL1AmjNTSmyI?authuser=0&hl=en&rclk=1,40.73966,-73.985891,0x89c259a0df6f48af:0x229bd2d48c26502f,"","","Plus code: P2Q7+VJ New York, USA",barber,"Bloomfield, NJ","","","",http://www.facebook.com/2008,http://instagram.com/littlespacesalon,"","",""
8,"2026-03-16 23:07:36.865843+00","City Image Barber Shop","Barber shop","Address: 354 Bloomfield Ave, Caldwell, NJ 07006, United States","Phone: +1 862-210-8636",http://www.cityimagebarbershop.com/,"",4.9,665,"Closed · Opens 9 AM Tue",https://www.google.com/maps/place/City+Image+Barber+Shop/data=!4m7!3m6!1s0x89c3009cb0097abb:0xa7cb00f94b8673c9!8m2!3d40.840261!4d-74.277338!16s%2Fg%2F11g0lc6nw5!19sChIJu3oJsJwAw4kRyXOGS_kAy6c?authuser=0&hl=en&rclk=1,40.840261,-74.277338,0x89c3009cb0097abb:0xa7cb00f94b8673c9,"","","Plus code: RPRF+43 Caldwell, New Jersey, USA",barber,"Bloomfield, NJ","","","",http://www.facebook.com/cityimagebarbershop,http://www.instagram.com/cityimagebarbers,http://www.twitter.com/cityimagebarber,https://www.youtube.com/channel/UCqSZ8wl26XnxqH-H_WDOVPw,""
9,"2026-03-16 23:07:36.865843+00","City Image Barber Shop","Barber shop","Address: 127 Valley Rd, Montclair, NJ 07042, United States","Phone: +1 862-333-4567",http://www.cityimagebarbershop.com/,"",4.9,572,"Closed · Opens 9 AM Tue",https://www.google.com/maps/place/City+Image+Barber+Shop/data=!4m7!3m6!1s0x89c3aaac93414389:0x2e9bc12c4dd68924!8m2!3d40.8217645!4d-74.2199886!16s%2Fg%2F11hblp9zn1!19sChIJiUNBk6yqw4kRJInWTSzBmy4?authuser=0&hl=en&rclk=1,40.8217645,-74.2199886,0x89c3aaac93414389:0x2e9bc12c4dd68924,"","","Plus code: RQCJ+P2 Montclair, New Jersey, USA",barber,"Bloomfield, NJ","","","",http://www.facebook.com/cityimagebarbershop,http://www.instagram.com/cityimagebarbers,http://www.twitter.com/cityimagebarber,https://www.youtube.com/channel/UCqSZ8wl26XnxqH-H_WDOVPw,""
10,"2026-03-16 23:07:36.865843+00","Bosphorus Barber","Barber shop","Address: 330 Bloomfield Ave, Montclair, NJ 07042, United States","Phone: +1 862-283-7678",https://www.bosphorusbarber.com/,info@bosphorusbarber.com,5.0,16,"Closes soon · 7:30 PM · Opens 9:30 AM Tue",https://www.google.com/maps/place/Bosphorus+Barber/data=!4m7!3m6!1s0x89c25500493381cb:0x2e047d98ab80ef8a!8m2!3d40.811632!4d-74.2148707!16s%2Fg%2F11yy07v9b3!19sChIJy4EzSQBVwokRiu-Aq5h9BC4?authuser=0&hl=en&rclk=1,40.811632,-74.2148707,0x89c25500493381cb:0x2e047d98ab80ef8a,"","","Plus code: RQ6P+M3 Montclair, New Jersey, USA",barber,"Bloomfield, NJ","","","","","","","",""
